channel,nonnull_frac,nonzero_frac_of_nonnull,full_days,subjects,subjects_with_cgm,pct_of_cgm
CGM,0.8981795646489683,1.0,199933,875,875,1.0
basal,0.9358614875326294,0.7513956637378316,421937,1052,839,0.9588571428571429
bolus,0.9442102996635925,0.06584881191719742,426701,1051,835,0.9542857142857143
insulin,0.9649554709705218,0.7665376157919711,434181,1071,852,0.9737142857142858
carbs,0.709748771029862,0.01632283496590853,357724,895,808,0.9234285714285714
calories_burned,0.25091180371352784,0.03406524587209895,125587,423,366,0.41828571428571426
heartrate,0.007128063860327851,1.0,1837,13,8,0.009142857142857144
steps,0.006610621532540696,0.43457565039185986,1504,12,6,0.006857142857142857
skin_temp,0.0010129093474203707,0.9927434108001897,33,0,0,0.0
galvanic_skin_response,0.0010119073502340885,0.9927362252787499,30,0,0,0.0
air_temp,0.0005945137551977575,1.0,29,0,0,0.0
workout_duration,0.0006679958365232531,0.9956335466902284,0,0,0,0.0
workout_intensity,1.5029957794231394e-06,1.0,0,0,0,0.0
