channel,nonnull_frac,nonzero_frac_of_nonnull,full_days,subjects,subjects_with_cgm,pct_of_cgm
CGM,0.842303890781602,1.0,201700,1329,1329,1.0
basal,0.8776416244667863,0.7513956637378316,451901,1584,1262,0.9495861550037622
bolus,0.8854710577094177,0.06584881191719742,456373,1579,1255,0.944319036869827
insulin,0.9049256736843276,0.7665376157919711,464548,1603,1276,0.9601203912716328
carbs,0.6655953607111493,0.01632283496590853,357724,1100,950,0.7148231753197893
calories_burned,0.23530260187285912,0.03406524587209895,125599,424,357,0.2686230248306998
heartrate,0.006684627617463542,1.0,1837,13,8,0.006019563581640331
steps,0.006199375332614968,0.43457565039185986,1504,12,6,0.004514672686230248
skin_temp,0.0009498963435832291,0.9927434108001897,33,0,0,0.0
galvanic_skin_response,0.0009489566805561734,0.9927362252787499,30,0,0,0.0
air_temp,0.0005575291053542977,1.0,29,0,0,0.0
workout_duration,0.0006264398726877596,0.9956335466902284,0,0,0,0.0
workout_intensity,1.409494540583557e-06,1.0,0,0,0,0.0
