channels,length,subjects,pct_subjects,non_overlapping,sliding
CGM,1,1329,1.0,197970,197970
CGM,7,809,0.6087283671933785,7722,18642
CGM,14,40,0.030097817908201655,158,1235
CGM,30,5,0.003762227238525207,29,753
CGM+basal,1,1262,1.0,175597,175597
CGM+basal,7,770,0.6101426307448494,6749,16283
CGM+basal,14,36,0.028526148969889066,144,1169
CGM+basal,30,5,0.003961965134706815,29,753
CGM+basal+bolus,1,1253,1.0,172119,172119
CGM+basal+bolus,7,761,0.6073423782920989,6514,15211
CGM+basal+bolus,14,33,0.026336791699920193,88,405
CGM+basal+bolus,30,2,0.0015961691939345571,4,38
