study,n,weight_median,height_median,bmi_kg_cm,bmi_lb_cm,bmi_lb_in,verdict
CTR3,30,169.86597099999994,5.68733614,52515.63141824895,23820.718045853235,3692.222669141868,NONE PLAUSIBLE
DCLP3,112,162.63001599999998,5.626640419947506,51369.150206626975,23300.682297460324,3611.6168798753797,NONE PLAUSIBLE
DCLP5,100,89.01153249999999,4.880249343832021,37373.36951597791,16952.295414165666,2627.613882238462,NONE PLAUSIBLE
Flair,113,160.496336,5.511811023622047,52829.49802742858,23963.085714285717,3714.289725715369,NONE PLAUSIBLE
HUPA-UCM,22,148.370926,5.5118112,48838.25535300466,22152.68633733009,3433.676958000775,NONE PLAUSIBLE
IOBP2,331,164.2,5.4461942257217855,55358.82990274348,25110.37271853811,3892.119759090455,NONE PLAUSIBLE
Loop,778,141.0,5.416666666666667,48056.804733727804,21798.22587735202,3378.735417484395,NONE PLAUSIBLE
PEDAP,65,37.037616,3.33005249343832,33399.56922762154,15149.807779853918,2348.227438410741,NONE PLAUSIBLE
ReplaceBG,208,174.71613499999998,5.634842519685039,55026.190545736354,24959.489864800446,3868.732844729491,NONE PLAUSIBLE
ShanghaiT1DM,12,132.2772,5.331365,46538.047682631885,21109.328447819527,3271.955987026538,NONE PLAUSIBLE
T1D-UOM,14,167.55111999999997,5.725065799999999,51119.47326271643,23187.430606052938,3594.0628136407645,NONE PLAUSIBLE
