channels,space,dim,top1,top5,auc,lift,chance_top1,within_study,n_windows,n_subjects
all,level,6,0.09422718808193668,0.25623836126629423,0.9507063982919289,118.06666666666666,0.0007980845969672786,False,37590,1253
all,shape,864,0.03160415003990423,0.05629156690609204,0.6938353061929482,39.6,0.0007980845969672786,False,37590,1253
all,raw,864,0.020563979781856877,0.05905826017557861,0.7644694265303229,25.766666666666666,0.0007980845969672786,False,37590,1253
all,quantile,33,0.11699920191540303,0.2858739026336792,0.9543320418287309,146.6,0.0007980845969672786,False,37590,1253
all,acf,108,0.013248204309656824,0.040329874966746476,0.7189907479108787,16.6,0.0007980845969672786,False,37590,1253
all,spectrum,48,0.04543761638733706,0.13942537909018357,0.9221373814182298,56.93333333333333,0.0007980845969672786,False,37590,1253
CGM,level,2,0.0031923383878691143,0.013966480446927373,0.685950927406819,4.0,0.0007980845969672786,False,37590,1253
CGM,shape,288,0.004655493482309125,0.01675977653631285,0.6361960898059522,5.833333333333333,0.0007980845969672786,False,37590,1253
CGM,raw,288,0.010242085661080074,0.031311519021016226,0.7185164548169702,12.833333333333332,0.0007980845969672786,False,37590,1253
CGM,quantile,11,0.005001330140994946,0.01939345570630487,0.7158499152852191,6.266666666666667,0.0007980845969672786,False,37590,1253
CGM,acf,36,0.0016493748337323756,0.009071561585528066,0.5941247288412377,2.0666666666666664,0.0007980845969672786,False,37590,1253
CGM,spectrum,16,0.004974727321096036,0.01936685288640596,0.7123473098439252,6.2333333333333325,0.0007980845969672786,False,37590,1253
basal,level,2,0.11447193402500665,0.19550412343708434,0.9260894193910525,143.4333333333333,0.0007980845969672786,False,37590,1253
basal,shape,288,0.10593242883745677,0.13461026868848097,0.6789969782805145,132.73333333333332,0.0007980845969672786,False,37590,1253
basal,raw,288,0.1438414471934025,0.19489225857940942,0.7867155141323997,180.23333333333332,0.0007980845969672786,False,37590,1253
basal,quantile,11,0.25639797818568766,0.4252992817238627,0.9591145999375711,321.2666666666666,0.0007980845969672786,False,37590,1253
basal,acf,36,0.07315775472200053,0.09191274275073158,0.7325334316791038,91.66666666666667,0.0007980845969672786,False,37590,1253
basal,spectrum,16,0.08518222931630753,0.1300345836658686,0.8793728918100572,106.73333333333333,0.0007980845969672786,False,37590,1253
bolus,level,2,0.008512902367650971,0.03583399840383081,0.8132415957971005,10.666666666666666,0.0007980845969672786,False,37590,1253
bolus,shape,288,0.008087257249268422,0.02524607608406491,0.5678629437577012,10.133333333333333,0.0007980845969672786,False,37590,1253
bolus,raw,288,0.009151370045224793,0.026709231178504923,0.5563571389306381,11.466666666666665,0.0007980845969672786,False,37590,1253
bolus,quantile,11,0.007129555732907689,0.030353817504655493,0.6480260976035207,8.933333333333334,0.0007980845969672786,False,37590,1253
bolus,acf,36,0.004628890662410215,0.016201117318435754,0.5761318521224801,5.8,0.0007980845969672786,False,37590,1253
bolus,spectrum,16,0.007741420590582602,0.02713487629688747,0.7406408641968475,9.7,0.0007980845969672786,False,37590,1253
