cohort,space,flagged,flagged_rank,flagged_pctile,flagged_z,n_outliers,outlier_median,normal_median,mwu_p
metabonet875,all__level,1142,0.0026697177726926,0.0,-4.070447454990709,24,0.14467963386727684,0.3442410373760488,7.661209146914783e-15
metabonet875,all__shape,1142,0.5045766590389016,0.912,1.434450690755244,24,0.36336765827612505,0.3807780320366133,0.1281681672075648
metabonet875,all__raw,1142,0.0001525553012967,0.0,-2.508809465096752,24,0.12465675057208235,0.3161708619374523,3.483245258800256e-10
metabonet875,all__quantile,1142,0.0022120518688024,0.0,-3.636278354477558,24,0.12006102212051865,0.3179633867276887,1.53962156867117e-13
metabonet875,all__acf,1142,0.2057589626239511,0.004571428571428572,-3.179142598052347,24,0.38653699466056446,0.4196796338672769,0.020897716750952765
metabonet875,all__spectrum,1142,0.0042715484363081,0.0,-3.6690015914572225,24,0.23176964149504195,0.3033562166285278,0.00022465358480439784
metabonet_sid_c1,all__level,1142,0.0019327309236947,0.0,-3.9999873533050243,25,0.1340110441767068,0.3262926706827308,1.0705493196396977e-13
metabonet_sid_c1,all__shape,1142,0.627359437751004,0.999247554552295,2.9458663735890434,25,0.3446536144578313,0.3634161646586346,0.34029372815146464
metabonet_sid_c1,all__raw,1142,0.0004016064257028,0.0,-2.3673829399637607,25,0.1269076305220883,0.2821410642570281,5.523695360171994e-09
metabonet_sid_c1,all__quantile,1142,0.0022841365461847,0.0,-3.545988020388499,25,0.1215361445783132,0.29334839357429715,6.014246507120361e-13
metabonet_sid_c1,all__acf,1142,0.2449046184738955,0.009781790820165538,-2.485279414862848,25,0.3732429718875502,0.41229919678714855,0.002070840601392272
metabonet_sid_c1,all__spectrum,1142,0.003714859437751,0.0,-3.7480149342230127,25,0.2390060240963855,0.29184236947791165,8.471259630557994e-05
metabonet_sid_c3,all__level,1142,0.0005058572949946,0.0015961691939345571,-1.5500120681992646,22,0.02593184238551645,0.0429712460063897,0.0005457664927345165
metabonet_sid_c3,all__shape,1142,0.4167199148029819,0.6679968076616122,0.6232009984047732,22,0.3835197018104366,0.3025292864749733,0.9091255392867408
metabonet_sid_c3,all__raw,1142,0.0052715654952076,0.0023942537909018356,-1.3261578568357855,22,0.07900692225772095,0.1942225772097976,0.002341946904120116
metabonet_sid_c3,all__quantile,1142,0.0006123535676251,0.0031923383878691143,-1.5163167639860307,22,0.02280351437699675,0.040601703940362,0.0030939629703469846
metabonet_sid_c3,all__acf,1142,0.0843450479233226,0.07342378292098962,-1.4596476041634816,22,0.17623801916932905,0.2738551650692226,0.0011972903089651856
metabonet_sid_c3,all__spectrum,1142,0.0019701810436634,0.0,-1.7555279618509188,22,0.07571884984025555,0.0711927582534611,0.5495534947123014
metabonet_sid_c3,CGM__level,1142,0.0050585729499467,0.0,-3.9714692140685885,22,0.1224707135250266,0.3234291799787007,8.439901763182676e-12
metabonet_sid_c3,CGM__shape,1142,0.5765175718849841,0.9928172386272945,2.449498190542387,22,0.33768636847710326,0.3635250266240681,0.29674025617818656
metabonet_sid_c3,CGM__raw,1142,0.0007454739084132,0.0007980845969672786,-2.37260176622932,22,0.1179179978700745,0.285356762513312,5.181790705071355e-09
metabonet_sid_c3,CGM__quantile,1142,0.0025825346112886,0.0,-3.6536261580917406,22,0.1173588924387646,0.291640042598509,8.767207451119325e-11
metabonet_sid_c3,CGM__acf,1142,0.1884451544195953,0.0023942537909018356,-3.441607265269592,22,0.38153620873269434,0.4062034078807242,0.031088762356552967
metabonet_sid_c3,CGM__spectrum,1142,0.0169329073482428,0.0007980845969672786,-3.4991670314897894,22,0.2342917997870074,0.2888445154419595,0.002677130691349456
metabonet_sid_c3,basal__level,1142,0.1058040468583599,0.75658419792498,0.803187850971915,22,0.07494675186368474,0.0701544195953141,0.7189980854349005
metabonet_sid_c3,basal__shape,1142,0.5470447284345048,0.8124501197126895,1.090589447908348,22,0.5044728434504793,0.3124866879659212,0.9843886484139539
metabonet_sid_c3,basal__raw,1142,0.3884185303514377,0.7980845969672785,0.932287867740886,22,0.30738817891373804,0.1464323748668796,0.9791077581795051
metabonet_sid_c3,basal__quantile,1142,0.0710063897763578,0.8747007182761373,1.1996518638141205,22,0.042252396166134146,0.0318157614483493,0.9479702161346822
metabonet_sid_c3,basal__acf,1142,0.2100638977635782,0.24581005586592178,-0.5019612251445725,22,0.304552715654952,0.2774227902023429,0.8776464407224983
metabonet_sid_c3,basal__spectrum,1142,0.1488817891373801,0.7206703910614525,0.6854021540492149,22,0.13153620873269434,0.111182108626198,0.8690664070173553
metabonet_sid_c3,bolus__level,1142,0.0657348242811501,0.08300079808459697,-1.5943294158425585,22,0.16263312034078806,0.1811235356762513,0.22389979878446092
metabonet_sid_c3,bolus__shape,1142,0.3462726304579339,0.3583399840383081,-0.16245437961143241,22,0.20625665601703935,0.4880990415335463,0.13912867926335998
metabonet_sid_c3,bolus__raw,1142,0.2234291799787007,0.33599361532322425,-0.6882275458143192,22,0.1870340788072417,0.4015441959531416,0.0037904802050141547
metabonet_sid_c3,bolus__quantile,1142,0.0935835995740149,0.9553072625698324,1.9051205394726045,22,0.04406283280085195,0.0299787007454739,0.8823126843647855
metabonet_sid_c3,bolus__acf,1142,0.1768104366347178,0.04229848363926576,-1.4920235294858517,22,0.29885516506922255,0.3923588924387646,0.0009101414985733386
metabonet_sid_c3,bolus__spectrum,1142,0.0841853035143769,0.04549082202713488,-1.8127497098008918,22,0.24703141640042597,0.2542598509052183,0.33206001348079095
