channels,space,dim,top1,top5,auc,lift,chance_top1,within_study,n_windows,n_subjects
all,level,4,0.10499448123620309,0.26572847682119205,0.8679324143298025,18.119047619047617,0.005794701986754967,True,36240,1208
all,shape,576,0.0945364238410596,0.17533112582781457,0.6910080521525473,16.314285714285713,0.005794701986754967,True,36240,1208
all,raw,576,0.10198675496688742,0.22273730684326712,0.7792962505932379,17.599999999999998,0.005794701986754967,True,36240,1208
all,quantile,22,0.16556291390728478,0.36410044150110377,0.8990543760622571,28.571428571428573,0.005794701986754967,True,36240,1208
all,acf,72,0.027676600441501102,0.08835540838852098,0.6662643558259773,4.776190476190476,0.005794701986754967,True,36240,1208
all,spectrum,32,0.046495584988962474,0.14892384105960266,0.8060305327286139,8.023809523809524,0.005794701986754967,True,36240,1208
CGM,level,2,0.012444812362030905,0.05405629139072848,0.6615325161497593,2.1476190476190475,0.005794701986754967,True,36240,1208
CGM,shape,288,0.019426048565121413,0.06906732891832229,0.6251547115185787,3.3523809523809525,0.005794701986754967,True,36240,1208
CGM,raw,288,0.02866997792494481,0.09917218543046358,0.696530741829696,4.947619047619047,0.005794701986754967,True,36240,1208
CGM,quantile,11,0.015838852097130242,0.0673841059602649,0.6873239320698867,2.733333333333333,0.005794701986754967,True,36240,1208
CGM,acf,36,0.00869205298013245,0.04053532008830022,0.5758293260669808,1.4999999999999998,0.005794701986754967,True,36240,1208
CGM,spectrum,16,0.013245033112582781,0.05772626931567329,0.6632540541994113,2.2857142857142856,0.005794701986754967,True,36240,1208
basal,level,2,0.1629139072847682,0.2606512141280353,0.8503856564961527,28.114285714285714,0.005794701986754967,True,36240,1208
basal,shape,288,0.13258830022075055,0.19351545253863134,0.6486280123466143,22.88095238095238,0.005794701986754967,True,36240,1208
basal,raw,288,0.19357064017660044,0.26261037527593817,0.7372820911688183,33.404761904761905,0.005794701986754967,True,36240,1208
basal,quantile,11,0.3423289183222958,0.5048289183222958,0.9197653668050765,59.07619047619047,0.005794701986754967,True,36240,1208
basal,acf,36,0.0876103752759382,0.13084988962472408,0.6544445939413929,15.119047619047619,0.005794701986754967,True,36240,1208
basal,spectrum,16,0.10860927152317881,0.17571743929359823,0.7923777874337448,18.742857142857144,0.005794701986754967,True,36240,1208
