channels,space,dim,top1,top5,auc,lift,chance_top1,within_study,n_windows,n_subjects
all,level,4,0.10676175382989964,0.27403592181722136,0.8874652973300942,16.84166666666667,0.006339144215530904,True,37860,1262
all,shape,576,0.09350237717908082,0.17126254622292658,0.6896078889206056,14.749999999999998,0.006339144215530904,True,37860,1262
all,raw,576,0.09936608557844691,0.22229265715795035,0.8082343994808318,15.674999999999999,0.006339144215530904,True,37860,1262
all,quantile,22,0.15248283148441627,0.34978869519281564,0.9059029933112775,24.054166666666667,0.006339144215530904,True,37860,1262
all,acf,72,0.026730058108821977,0.08592181722134179,0.6669985595988714,4.216666666666667,0.006339144215530904,True,37860,1262
all,spectrum,32,0.04915478077126255,0.1621500264131009,0.8257865615029304,7.754166666666666,0.006339144215530904,True,37860,1262
CGM,level,2,0.012493396724775488,0.05309033280507131,0.6647679664941536,1.9708333333333332,0.006339144215530904,True,37860,1262
CGM,shape,288,0.01978341257263603,0.06814580031695722,0.6248863082953247,3.1208333333333336,0.006339144215530904,True,37860,1262
CGM,raw,288,0.030110935023771792,0.09624933967247755,0.6979038754073441,4.75,0.006339144215530904,True,37860,1262
CGM,quantile,11,0.015742208135235077,0.06304807184363444,0.6899827102742222,2.4833333333333334,0.006339144215530904,True,37860,1262
CGM,acf,36,0.009640781827786582,0.039672477548864236,0.5754935136499922,1.5208333333333333,0.006339144215530904,True,37860,1262
CGM,spectrum,16,0.01381405176967776,0.056629688325409405,0.668185749437662,2.1791666666666667,0.006339144215530904,True,37860,1262
basal,level,2,0.15147913365029053,0.27916006339144217,0.8741439224711872,23.895833333333332,0.006339144215530904,True,37860,1262
basal,shape,288,0.1259904912836767,0.17606973058637085,0.6461788716291339,19.875,0.006339144215530904,True,37860,1262
basal,raw,288,0.17857897517168517,0.2702324352879028,0.7748610905583835,28.170833333333334,0.006339144215530904,True,37860,1262
basal,quantile,11,0.2988906497622821,0.4839408346539884,0.9263906961314924,47.15,0.006339144215530904,True,37860,1262
basal,acf,36,0.08615953512942419,0.12474907554146857,0.653138582520225,13.591666666666665,0.006339144215530904,True,37860,1262
basal,spectrum,16,0.1043581616481775,0.18415213946117273,0.8097325142968224,16.462500000000002,0.006339144215530904,True,37860,1262
