replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.4722222222222222,0.4288194444444444,0.5034722222222222,0.375,0.9654491543769836,0.08405333183084925,0.08312799517686169,5741
1,DCLP5/81,outlier,4,0.375,0.1875,0.375,0.0,1.0,0.16912945732474327,0.1650870032608509,5741
1,DCLP3/91,outlier,10,0.59,0.42,0.8,0.6,0.1162109375,0.15998513549566268,0.16888233348727227,5741
1,Loop/633,outlier,5,0.32,0.04,0.6,0.2,0.9375,0.27606273293495176,0.25535951256752015,5741
1,DCLP5/52,outlier,9,0.5061728395061729,0.35802469135802467,0.6419753086419753,0.5555555555555556,0.248046875,0.17573197351561654,0.17729359202914768,5741
1,Loop/100,outlier,5,0.56,0.32,0.84,0.6,0.5,0.14904701709747314,0.14952554553747177,5741
1,Loop/19,outlier,14,0.49489795918367346,0.34183673469387754,0.6224489795918368,0.5,0.40386962890625,0.1675621462719781,0.1703383049794606,5741
1,Loop/1153,outlier,19,0.5235457063711911,0.48476454293628807,0.5790166204986146,0.631578947368421,0.024682998657226562,0.136620751729137,0.13764020055532455,5741
1,Loop/342,outlier,5,0.64,0.64,0.84,1.0,0.03125,0.06480266153812408,0.06705131083726883,5741
1,Loop/467,outlier,11,0.5619834710743802,0.5206611570247934,0.6776859504132231,0.9090909090909091,0.01220703125,0.08232675492763519,0.08387987992980263,5741
1,Loop/727,outlier,22,0.48760330578512395,0.4462809917355372,0.5144628099173554,0.36363636363636365,0.6721806526184082,0.1819124553691257,0.1816938604143533,5741
1,Loop/1120,outlier,4,0.4375,0.1875,0.75,0.25,0.6875,0.09924843907356262,0.09875432029366493,5741
1,Loop/968,outlier,5,0.6,0.6,0.84,1.0,0.03125,0.10683541670441628,0.10951743870973588,5741
1,Loop/317,control,24,0.5121527777777778,0.4756944444444444,0.5555555555555556,0.5833333333333334,0.11459481716156006,0.16910022869706154,0.1699543446302414,5741
1,DCLP3/114,control,4,0.5625,0.1875,0.8125,0.5,0.3125,0.136559896171093,0.1400216892361641,5741
1,DCLP3/111,control,10,0.43,0.32,0.51,0.2,0.9814453125,0.1054657205939293,0.10161429569125176,5741
1,DCLP3/135,control,5,0.56,0.32,0.84,0.6,0.40625,0.06550692692399025,0.0669420063495636,5741
1,DCLP3/102,control,9,0.5185185185185185,0.4074074074074074,0.654320987654321,0.6666666666666666,0.326171875,0.11068487746848,0.10988365113735199,5741
1,DCLP3/171,control,5,0.28,0.04,0.64,0.4,0.90625,0.08058251291513444,0.07757122367620468,5741
1,DCLP3/134,control,14,0.47959183673469385,0.3622448979591837,0.5816326530612245,0.42857142857142855,0.8662109375,0.10230967296021325,0.10053652418511254,5741
1,Loop/1116,control,19,0.5124653739612188,0.46814404432132967,0.5623268698060941,0.5789473684210527,0.186798095703125,0.15079471508139058,0.1523359586533747,5741
1,DCLP3/43,control,5,0.32,0.04,0.36,0.0,1.0,0.1224040225148201,0.11826527416706085,5741
1,DCLP3/10,control,11,0.5206611570247934,0.39669421487603307,0.6611570247933884,0.45454545454545453,0.44921875,0.12352730469270186,0.12534157186746597,5741
1,Loop/1071,control,22,0.5330578512396694,0.493801652892562,0.5888429752066116,0.6818181818181818,0.05272674560546875,0.13855258917266672,0.14118475788696247,5741
1,DCLP3/144,control,4,0.625,0.25,1.0,0.75,0.4375,0.146047905087471,0.1460154727101326,5741
1,DCLP3/68,control,5,0.36,0.16,0.6,0.2,0.90625,0.08030228614807129,0.07584606036543846,5741
