replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.9861111111111112,0.9444444444444444,1.0,0.9583333333333334,1.1920928955078125e-07,0.048824191403885685,0.07433467746401827,5741
1,DCLP5/81,outlier,4,0.375,0.0,0.75,0.25,0.8125,0.15848151966929436,0.15334308333694935,5741
1,DCLP3/91,outlier,10,0.32,0.15,0.38,0.0,1.0,0.20899784490466117,0.18016472980380058,5741
1,Loop/633,outlier,5,0.56,0.24,0.84,0.4,0.40625,0.19837056696414948,0.2018892616033554,5741
1,DCLP5/52,outlier,9,0.30864197530864196,0.12345679012345678,0.4691358024691358,0.1111111111111111,0.990234375,0.19077937304973602,0.1738932861222161,5741
1,Loop/100,outlier,5,0.52,0.32,0.76,0.6,0.40625,0.15887029021978377,0.1606812670826912,5741
1,Loop/19,outlier,14,0.39285714285714285,0.2755102040816326,0.45408163265306123,0.14285714285714285,0.9993896484375,0.18391292063253267,0.16299704515508243,5741
1,Loop/1153,outlier,19,0.8587257617728532,0.7451523545706371,0.9722991689750693,0.8947368421052632,9.5367431640625e-06,0.05855834680168252,0.0687972640520648,5741
1,Loop/342,outlier,5,0.76,0.28,1.0,0.6,0.15625,0.060958857834339145,0.07663838490843773,5741
1,Loop/467,outlier,11,0.8842975206611571,0.7603305785123967,0.9752066115702479,0.9090909090909091,0.0009765625,0.06177812306718393,0.07708582011136142,5741
1,Loop/727,outlier,22,0.6549586776859504,0.5950413223140496,0.7479338842975206,0.8636363636363636,2.6226043701171875e-05,0.09682362526655197,0.10780069333585826,5741
1,Loop/1120,outlier,4,0.6875,0.0,1.0,0.5,0.4375,0.0674946354702115,0.07400791347026825,5741
1,Loop/968,outlier,5,0.64,0.4,0.84,0.8,0.15625,0.0776461198925972,0.08144366443157196,5741
1,Loop/317,control,24,0.4774305555555556,0.4027777777777778,0.546875,0.4166666666666667,0.9463087320327759,0.10820141155272722,0.10552730162938435,5741
1,DCLP3/114,control,4,0.4375,0.1875,0.8125,0.5,0.8125,0.14831791259348392,0.13834852539002895,5741
1,DCLP3/111,control,10,0.44,0.3,0.56,0.4,0.8837890625,0.11719656884670257,0.11435306072235107,5741
1,DCLP3/135,control,5,0.6,0.32,0.88,0.6,0.21875,0.07461646422743798,0.07983738407492638,5741
1,DCLP3/102,control,9,0.4074074074074074,0.19753086419753085,0.5555555555555556,0.2222222222222222,0.875,0.11171951476070616,0.11177052971389559,5741
1,DCLP3/171,control,5,0.36,0.04,0.76,0.6,0.59375,0.08560277670621871,0.08383213579654694,5741
1,DCLP3/134,control,14,0.46938775510204084,0.3010204081632653,0.6428571428571429,0.5714285714285714,0.5723876953125,0.10388507321476936,0.1023224773151534,5741
1,Loop/1116,control,19,0.6260387811634349,0.5595567867036011,0.739612188365651,0.8947368421052632,0.0035724639892578125,0.10520827848660319,0.10993151523564991,5741
1,DCLP3/43,control,5,0.72,0.4,1.0,0.8,0.09375,0.10911811292171478,0.11328849494457245,5741
1,DCLP3/10,control,11,0.4628099173553719,0.3305785123966942,0.5702479338842975,0.36363636363636365,0.767578125,0.10392115197398445,0.10214126719669862,5741
1,Loop/1071,control,22,0.5433884297520661,0.4628099173553719,0.6260330578512396,0.5,0.22170329093933105,0.10639135268601504,0.10816969045183876,5741
1,DCLP3/144,control,4,0.625,0.25,1.0,0.75,0.3125,0.12715798988938332,0.13087323680520058,5741
1,DCLP3/68,control,5,0.44,0.16,0.8,0.4,0.90625,0.09752026945352554,0.09113230854272843,5741
