replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.8003472222222222,0.6822916666666666,0.9080295138888888,0.8333333333333334,2.664327621459961e-05,0.0489562243844072,0.05360486234227816,5741
1,DCLP5/81,outlier,4,0.625,0.25,1.0,0.75,0.1875,0.1476424876600504,0.15726501494646072,5741
1,DCLP3/91,outlier,10,0.55,0.42,0.72,0.6,0.24609375,0.1975489303469658,0.2031611055135727,5741
1,Loop/633,outlier,5,0.48,0.24,0.68,0.4,0.5,0.1979187935590744,0.2023269146680832,5741
1,DCLP5/52,outlier,9,0.4691358024691358,0.2839506172839506,0.654320987654321,0.4444444444444444,0.3671875,0.18456345631016624,0.19135553803708819,5741
1,Loop/100,outlier,5,0.56,0.24,0.88,0.4,0.40625,0.15493690073490143,0.16574401408433914,5741
1,Loop/19,outlier,14,0.5561224489795918,0.4642857142857143,0.6581632653061225,0.5714285714285714,0.052001953125,0.16338559186884336,0.17202189724360192,5741
1,Loop/1153,outlier,19,0.3268698060941828,0.19390581717451524,0.44598337950138506,0.2631578947368421,0.9909591674804688,0.060634291681804155,0.05708888526025571,5741
1,Loop/342,outlier,5,0.48,0.16,0.8,0.4,0.59375,0.05945288985967636,0.059233158081769946,5741
1,Loop/467,outlier,11,0.4793388429752066,0.32231404958677684,0.628099173553719,0.36363636363636365,0.64990234375,0.06596737693656575,0.06565638360652057,5741
1,Loop/727,outlier,22,0.4772727272727273,0.39462809917355374,0.5558367768595038,0.45454545454545453,0.7969834804534912,0.09963096949187192,0.09812014651569453,5741
1,Loop/1120,outlier,4,0.3125,0.0,0.75,0.25,0.9375,0.06686661206185818,0.06149769760668278,5741
1,Loop/968,outlier,5,0.32,0.0,0.6,0.2,0.78125,0.07811100929975509,0.07649721354246139,5741
1,Loop/317,control,24,0.4756944444444444,0.4027777777777778,0.5416666666666666,0.375,0.8854051828384399,0.10720376577228308,0.10445624093214671,5741
1,DCLP3/114,control,4,0.3125,0.0,0.3125,0.0,1.0,0.1475510410964489,0.13365508802235126,5741
1,DCLP3/111,control,10,0.45,0.31,0.58,0.3,0.8623046875,0.11478960961103439,0.10875762701034546,5741
1,DCLP3/135,control,5,0.44,0.16,0.68,0.4,0.90625,0.07664659768342971,0.07288451120257378,5741
1,DCLP3/102,control,9,0.5308641975308642,0.38271604938271603,0.7037037037037037,0.4444444444444444,0.787109375,0.1152022381623586,0.11108903669648701,5741
1,DCLP3/171,control,5,0.44,0.0,0.88,0.4,0.59375,0.08474797308444977,0.08531206250190734,5741
1,DCLP3/134,control,14,0.5714285714285714,0.4642857142857143,0.6887755102040817,0.6428571428571429,0.1082763671875,0.10235173255205154,0.10598784472261157,5741
1,Loop/1116,control,19,0.5290858725761773,0.4099722991689751,0.6454293628808865,0.47368421052631576,0.42978668212890625,0.10664178313393342,0.10712677789361853,5741
1,DCLP3/43,control,5,0.36,0.04,0.64,0.2,0.9375,0.1067736104130745,0.10264000743627548,5741
1,DCLP3/10,control,11,0.5454545454545454,0.4049586776859504,0.6859504132231405,0.6363636363636364,0.13916015625,0.10005527125163512,0.10371287708932703,5741
1,Loop/1071,control,22,0.47520661157024796,0.40697314049586775,0.5413739669421485,0.4090909090909091,0.8826189041137695,0.10767809301614761,0.10559788346290588,5741
1,DCLP3/144,control,4,0.5625,0.25,0.8125,0.75,0.3125,0.13413123786449432,0.1399230044335127,5741
1,DCLP3/68,control,5,0.6,0.2,0.92,0.6,0.21875,0.09076393842697143,0.09673333317041397,5741
