replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.3107638888888889,0.230859375,0.3454861111111111,0.0,1.0,0.10268206366648276,0.09260288905352354,5741
1,DCLP5/81,outlier,4,0.3125,0.0,0.3125,0.0,1.0,0.17741435021162033,0.16727280616760254,5741
1,DCLP3/91,outlier,10,0.03,0.0,0.1,0.0,1.0,0.26531147956848145,0.17580961361527442,5741
1,Loop/633,outlier,5,1.0,1.0,1.0,1.0,0.03125,0.2702921092510223,0.45319520831108095,5741
1,DCLP5/52,outlier,9,0.345679012345679,0.16049382716049382,0.5308641975308642,0.3333333333333333,0.935546875,0.19667809539371067,0.18485315475198957,5741
1,Loop/100,outlier,5,0.32,0.0,0.64,0.2,0.96875,0.20282664000988007,0.179633928835392,5741
1,Loop/19,outlier,14,0.34183673469387754,0.2193877551020408,0.40816326530612246,0.07142857142857142,0.99993896484375,0.19533832371234894,0.17795114857809885,5741
1,Loop/1153,outlier,19,0.4265927977839335,0.33518005540166207,0.4792243767313019,0.21052631578947367,0.9980411529541016,0.14437416313510193,0.14063672211609388,5741
1,Loop/342,outlier,5,0.28,0.0,0.32,0.0,1.0,0.08527719751000404,0.07463036105036736,5741
1,Loop/467,outlier,11,0.4132231404958678,0.2727272727272727,0.49607438016528815,0.18181818181818182,0.98388671875,0.09304076975042169,0.08974497494372455,5741
1,Loop/727,outlier,22,0.4214876033057851,0.32644628099173556,0.48140495867768596,0.22727272727272727,0.9983804225921631,0.19957698238166896,0.19015388258478857,5741
1,Loop/1120,outlier,4,0.3125,0.0,0.3125,0.0,1.0,0.11915590427815914,0.10434741713106632,5741
1,Loop/968,outlier,5,0.36,0.16,0.36,0.0,1.0,0.11891387403011322,0.11244214475154876,5741
1,Loop/317,control,24,0.3732638888888889,0.2951388888888889,0.4184027777777778,0.08333333333333333,0.9999994039535522,0.21156128868460655,0.19161385080466667,5741
1,DCLP3/114,control,4,0.5625,0.25,1.0,0.75,0.3125,0.14055901020765305,0.14960187301039696,5741
1,DCLP3/111,control,10,0.39,0.24,0.47,0.1,0.9951171875,0.117865552008152,0.11111767292022705,5741
1,DCLP3/135,control,5,0.2,0.0,0.32,0.0,1.0,0.09148158580064773,0.07841833159327508,5741
1,DCLP3/102,control,9,0.2716049382716049,0.09876543209876543,0.345679012345679,0.0,1.0,0.1472124813331498,0.1178981430000729,5741
1,DCLP3/171,control,5,0.0,0.0,0.0,0.0,1.0,0.09303298443555832,0.08078762292861938,5741
1,DCLP3/134,control,14,0.23979591836734693,0.10204081632653061,0.31135204081632584,0.0,1.0,0.1251506730914116,0.10703595195497785,5741
1,Loop/1116,control,19,0.4515235457063712,0.3628808864265928,0.518005540166205,0.2631578947368421,0.9920139312744141,0.16089477311623723,0.15761567024808182,5741
1,DCLP3/43,control,5,0.28,0.0,0.32,0.0,1.0,0.13357780873775482,0.12382835447788239,5741
1,DCLP3/10,control,11,0.4132231404958678,0.2809917355371901,0.47107438016528924,0.09090909090909091,0.99951171875,0.13690947944467718,0.12906369431452316,5741
1,Loop/1071,control,22,0.39462809917355374,0.3202479338842975,0.42768595041322316,0.045454545454545456,0.9999833106994629,0.16903946006839926,0.1570779261263934,5741
1,DCLP3/144,control,4,0.3125,0.0,0.75,0.25,0.9375,0.15169313922524452,0.1386552955955267,5741
1,DCLP3/68,control,5,0.12,0.0,0.24,0.0,1.0,0.10809041410684586,0.08840475976467133,5741
