replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,1.0,1.0,1.0,1.0,5.960464477539063e-08,0.01739580121769298,0.07732295834769805,5741
1,DCLP5/81,outlier,4,0.90625,0.53125,1.0,0.75,0.05440471502027284,0.07063738822762389,0.28835418075323105,5741
1,DCLP3/91,outlier,10,0.815,0.625,0.9951249999999993,0.8,0.005431112352407814,0.10097228213271592,0.2548868522047997,5741
1,Loop/633,outlier,5,1.0,1.0,1.0,1.0,0.03125,0.00015448109479621053,0.28227576017379763,5741
1,DCLP5/52,outlier,9,0.9382716049382716,0.7962962962962963,1.0,0.7777777777777778,0.008980238763039383,0.0637185650347318,0.302067091067632,5741
1,Loop/100,outlier,5,0.78,0.32,0.98,0.4,0.2326044092260709,0.15954747200012206,0.27759053111076354,5741
1,Loop/19,outlier,14,0.8520408163265306,0.7091836734693877,0.9795918367346939,0.8571428571428571,0.00030517578125,0.06998920790439504,0.23889457966600144,5741
1,Loop/1153,outlier,19,0.9265927977839336,0.8434903047091413,1.0,0.9473684210526315,9.821836310615567e-05,0.020348186069321327,0.08257050067186356,5741
1,Loop/342,outlier,5,1.0,1.0,1.0,1.0,0.03125,0.04480850734980777,0.08418948203325272,5741
1,Loop/467,outlier,11,0.9173553719008265,0.8016528925619835,1.0,1.0,0.00048828125,0.015632820633155377,0.08506989479064941,5741
1,Loop/727,outlier,22,0.9101239669421488,0.7975206611570248,1.0,0.9090909090909091,3.9901109694645995e-05,0.018560398479828356,0.1210841600867835,5741
1,Loop/1120,outlier,4,0.6875,0.25,1.0,0.75,0.1875,0.047390926662046695,0.08897998929023743,5741
1,Loop/968,outlier,5,1.0,1.0,1.0,1.0,0.03125,0.016115228208946064,0.09549106657505035,5741
1,Loop/317,control,24,0.7335069444444444,0.6110894097222223,0.8498480902777776,0.6666666666666666,0.000652034910446923,0.07733758087063809,0.16389790115257105,5741
1,DCLP3/114,control,4,0.78125,0.375,1.0,0.5,0.14252470370130638,0.11137435616547009,0.23394139483571053,5741
1,DCLP3/111,control,10,0.715,0.505,0.9,0.6,0.042915479222142824,0.09667940016224748,0.19053647816181182,5741
1,DCLP3/135,control,5,0.86,0.6,1.0,0.8,0.033944577430914495,0.048919795220717786,0.12481193244457245,5741
1,DCLP3/102,control,9,0.8024691358024691,0.6296296296296297,1.0,0.8888888888888888,0.005859375,0.05575831486041554,0.1602623098426395,5741
1,DCLP3/171,control,5,0.72,0.52,0.9804999999999973,0.6,0.05440471502027284,0.07290520930255298,0.12217515110969543,5741
1,DCLP3/134,control,14,0.8877551020408163,0.7755102040816326,1.0,1.0,6.103515625e-05,0.02387672501052813,0.1487561081136976,5741
1,Loop/1116,control,19,0.8878116343490304,0.775623268698061,0.9764542936288089,0.7894736842105263,0.00038820574953187426,0.04676129569078943,0.15539640266644328,5741
1,DCLP3/43,control,5,0.76,0.52,0.98,0.6,0.05440471502027284,0.10752504615520593,0.1841486394405365,5741
1,DCLP3/10,control,11,0.8760330578512396,0.6611570247933884,1.0,0.7272727272727273,0.0068359375,0.04250344959225252,0.16264029795473273,5741
1,Loop/1071,control,22,0.8460743801652892,0.731404958677686,0.9494059917355371,0.7727272727272727,0.00014652626009624466,0.04845924360878681,0.15411791171539913,5741
1,DCLP3/144,control,4,0.59375,0.25,1.0,0.5,0.14252470370130638,0.1032341904938221,0.19568011164665222,5741
1,DCLP3/68,control,5,0.86,0.58,1.0,0.8,0.033944577430914495,0.03343312740325928,0.1621423602104187,5741
