replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.8975694444444444,0.8107638888888888,0.9809027777777778,0.9583333333333334,1.1920928955078125e-07,0.03750399895943701,0.047245655208826065,5741
1,DCLP5/81,outlier,4,1.0,1.0,1.0,1.0,0.0625,0.08788379188627005,0.14231125451624393,5741
1,DCLP3/91,outlier,10,0.67,0.46,0.91,0.8,0.0068359375,0.12416986897587776,0.17350438013672828,5741
1,Loop/633,outlier,5,0.64,0.32,1.0,0.6,0.15625,0.154815823584795,0.2058905005455017,5741
1,DCLP5/52,outlier,9,0.6666666666666666,0.5432098765432098,0.8765432098765432,0.8888888888888888,0.02734375,0.14996826938456959,0.19658707910113865,5741
1,Loop/100,outlier,5,0.68,0.64,0.96,1.0,0.03125,0.14587173610925674,0.16433862298727037,5741
1,Loop/19,outlier,14,0.7653061224489796,0.6785714285714286,0.9132653061224489,1.0,6.103515625e-05,0.11394868391965117,0.16276880939091956,5741
1,Loop/1153,outlier,19,0.5457063711911357,0.5069252077562327,0.6121883656509696,0.7368421052631579,0.004116058349609375,0.0536685080120438,0.05449786488162844,5741
1,Loop/342,outlier,5,0.68,0.68,0.84,1.0,0.03125,0.057653434574604034,0.059360047429800035,5741
1,Loop/467,outlier,11,0.512396694214876,0.39669421487603307,0.628099173553719,0.5454545454545454,0.259765625,0.06138192591342059,0.061731395396319305,5741
1,Loop/727,outlier,22,0.5433884297520661,0.5082644628099173,0.6033057851239669,0.7727272727272727,0.005736351013183594,0.09645111520182002,0.09823827547105876,5741
1,Loop/1120,outlier,4,0.5,0.1875,0.8125,0.5,0.3125,0.05753394588828087,0.05857837665826082,5741
1,Loop/968,outlier,5,0.6,0.6,0.84,1.0,0.03125,0.07288204282522201,0.07388528510928154,5741
1,Loop/317,control,24,0.6736111111111112,0.5798177083333333,0.78125,0.8333333333333334,0.00010257959365844727,0.09365508736421664,0.10507580389579137,5741
1,DCLP3/114,control,4,0.75,0.6875,1.0,1.0,0.0625,0.13431366533041,0.14683252945542336,5741
1,DCLP3/111,control,10,0.65,0.54,0.8302499999999986,0.9,0.001953125,0.09988641366362572,0.11056548655033112,5741
1,DCLP3/135,control,5,0.6,0.6,0.84,1.0,0.03125,0.06935354769229889,0.07163595184683799,5741
1,DCLP3/102,control,9,0.5925925925925926,0.4074074074074074,0.7777777777777778,0.6666666666666666,0.048828125,0.09825075583325492,0.11397825678189595,5741
1,DCLP3/171,control,5,0.52,0.32,0.76,0.6,0.15625,0.0842245101928711,0.08561430871486664,5741
1,DCLP3/134,control,14,0.673469387755102,0.5306122448979592,0.8316326530612245,0.7142857142857143,0.02899169921875,0.09069358184933662,0.10199361454163279,5741
1,Loop/1116,control,19,0.6011080332409973,0.5318559556786704,0.7146814404432132,0.7894736842105263,0.0070343017578125,0.09826362995724928,0.10584808964478343,5741
1,DCLP3/43,control,5,0.88,0.76,1.0,1.0,0.03125,0.09721700251102447,0.10562932044267655,5741
1,DCLP3/10,control,11,0.7024793388429752,0.5537190082644629,0.8677685950413223,0.8181818181818182,0.0068359375,0.08426536822860892,0.09463062408295544,5741
1,Loop/1071,control,22,0.5991735537190083,0.5371900826446281,0.6735537190082644,0.7272727272727273,0.00040459632873535156,0.09555889022621242,0.10162173753434961,5741
1,DCLP3/144,control,4,0.875,0.75,1.0,1.0,0.0625,0.09812691435217857,0.1286377590149641,5741
1,DCLP3/68,control,5,0.48,0.24,0.68,0.4,0.78125,0.09211161881685256,0.09133305847644806,5741
