replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.5034722222222222,0.4600694444444444,0.546875,0.5833333333333334,0.527946412563324,0.0877435024206837,0.08798578816155593,5741
1,DCLP5/81,outlier,4,0.75,0.25,1.0,0.75,0.1875,0.14793924801051617,0.17223923280835152,5741
1,DCLP3/91,outlier,10,0.78,0.58,0.95,0.8,0.0068359375,0.13296671435236931,0.16560300514101983,5741
1,Loop/633,outlier,5,1.0,1.0,1.0,1.0,0.03125,0.0958910308778286,0.20227710902690887,5741
1,DCLP5/52,outlier,9,0.7654320987654321,0.5802469135802469,1.0,0.8888888888888888,0.005859375,0.14718261609474817,0.18494343592060936,5741
1,Loop/100,outlier,5,0.72,0.68,1.0,1.0,0.03125,0.11942756026983262,0.14588220566511154,5741
1,Loop/19,outlier,14,0.7040816326530612,0.5459183673469388,0.8520408163265306,0.7857142857142857,0.00335693359375,0.13824567597891604,0.17320208996534348,5741
1,Loop/1153,outlier,19,0.5041551246537396,0.45429362880886426,0.554016620498615,0.47368421052631576,0.28388023376464844,0.1375773584372119,0.1380235668467848,5741
1,Loop/342,outlier,5,0.6,0.36,0.84,0.8,0.0625,0.06819144189357758,0.07049738317728042,5741
1,Loop/467,outlier,11,0.5206611570247934,0.4462809917355372,0.628099173553719,0.7272727272727273,0.259765625,0.08830380236560648,0.08864764056422493,5741
1,Loop/727,outlier,22,0.5950413223140496,0.5247933884297521,0.6962809917355371,0.7272727272727273,0.00040459632873535156,0.16251583871516315,0.18064596571705557,5741
1,Loop/1120,outlier,4,0.5625,0.25,0.8125,0.75,0.1875,0.10060197860002518,0.10269893892109394,5741
1,Loop/968,outlier,5,0.56,0.36,0.76,0.8,0.15625,0.10789964646100998,0.10897075533866882,5741
1,Loop/317,control,24,0.6423611111111112,0.5434027777777778,0.7534722222222222,0.6666666666666666,0.007522463798522949,0.156836304658403,0.179941245354712,5741
1,DCLP3/114,control,4,0.625,0.25,1.0,0.75,0.125,0.1414094753563404,0.14471811428666115,5741
1,DCLP3/111,control,10,0.54,0.41,0.67,0.6,0.0419921875,0.10305233299732208,0.10641616135835648,5741
1,DCLP3/135,control,5,0.44,0.24,0.64,0.2,0.90625,0.07285243347287178,0.07253354266285897,5741
1,DCLP3/102,control,9,0.49382716049382713,0.37037037037037035,0.6296296296296297,0.3333333333333333,0.71484375,0.11055005258984035,0.11172529309988022,5741
1,DCLP3/171,control,5,0.68,0.64,0.96,1.0,0.03125,0.08216846734285355,0.08359140753746033,5741
1,DCLP3/134,control,14,0.4846938775510204,0.4131377551020408,0.5357142857142857,0.2857142857142857,0.8662109375,0.10331245618207115,0.10280797524111611,5741
1,Loop/1116,control,19,0.5124653739612188,0.46537396121883656,0.5623268698060941,0.5263157894736842,0.3112812042236328,0.1516036881428016,0.15274897884381444,5741
1,DCLP3/43,control,5,0.6,0.36,0.84,0.8,0.0625,0.11752225458621979,0.11904766708612442,5741
1,DCLP3/10,control,11,0.4628099173553719,0.32231404958677684,0.5456611570247922,0.18181818181818182,0.8798828125,0.12378070909868587,0.12344924834641544,5741
1,Loop/1071,control,22,0.5867768595041323,0.5268595041322314,0.6776859504132231,0.7272727272727273,0.005162239074707031,0.12793066843666814,0.1389960226687518,5741
1,DCLP3/144,control,4,0.5,0.1875,0.8125,0.5,0.5625,0.13794222474098206,0.14506245031952858,5741
1,DCLP3/68,control,5,0.52,0.32,0.76,0.6,0.15625,0.08106611371040344,0.08248713463544846,5741
