replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.7465277777777778,0.6648871527777778,0.850737847222222,0.9166666666666666,6.556510925292969e-06,0.04509073542430997,0.051084801399459444,5741
1,DCLP5/81,outlier,4,0.75,0.25,1.0,0.75,0.3125,0.13463526964187622,0.15341648645699024,5741
1,DCLP3/91,outlier,10,0.5,0.34,0.67,0.6,0.4609375,0.1877215951681137,0.1884542927145958,5741
1,Loop/633,outlier,5,0.32,0.04,0.68,0.4,0.84375,0.19895365238189697,0.19251607060432435,5741
1,DCLP5/52,outlier,9,0.5061728395061729,0.2962962962962963,0.691358024691358,0.4444444444444444,0.8203125,0.18558191590838963,0.18256175186898974,5741
1,Loop/100,outlier,5,0.44,0.12,0.8,0.4,0.84375,0.16988182663917542,0.16377502530813218,5741
1,Loop/19,outlier,14,0.49489795918367346,0.40816326530612246,0.5714285714285714,0.42857142857142855,0.642578125,0.15934752939002855,0.15860000731689589,5741
1,Loop/1153,outlier,19,0.48476454293628807,0.3268698060941828,0.6371883656509691,0.47368421052631576,0.3690452575683594,0.058693472099931615,0.0592277753902109,5741
1,Loop/342,outlier,5,0.52,0.2,0.84,0.6,0.3125,0.05716079175472259,0.058782171458005905,5741
1,Loop/467,outlier,11,0.4793388429752066,0.2975206611570248,0.6694214876033058,0.5454545454545454,0.35009765625,0.06454131650653752,0.06475052406842058,5741
1,Loop/727,outlier,22,0.5247933884297521,0.4380165289256198,0.6240185950413221,0.5,0.5126891136169434,0.09863015602935445,0.09914285960522565,5741
1,Loop/1120,outlier,4,0.6875,0.25,1.0,0.75,0.3125,0.06137998029589653,0.06470137182623148,5741
1,Loop/968,outlier,5,0.36,0.12,0.6,0.2,0.96875,0.07650177031755448,0.07085279300808907,5741
1,Loop/317,control,24,0.484375,0.421875,0.5434027777777778,0.4166666666666667,0.7888292670249939,0.11055938216547172,0.10860383107016484,5741
1,DCLP3/114,control,4,0.625,0.25,1.0,0.75,0.4375,0.14013764634728432,0.1359985712915659,5741
1,DCLP3/111,control,10,0.54,0.41,0.68,0.6,0.24609375,0.1123648889362812,0.11374706178903579,5741
1,DCLP3/135,control,5,0.56,0.24,0.92,0.6,0.3125,0.07291127592325211,0.07897994667291641,5741
1,DCLP3/102,control,9,0.5185185185185185,0.345679012345679,0.7037037037037037,0.4444444444444444,0.71484375,0.11616835080915028,0.11095923433701198,5741
1,DCLP3/171,control,5,0.4,0.04,0.76,0.4,0.59375,0.08448617458343506,0.08349436521530151,5741
1,DCLP3/134,control,14,0.576530612244898,0.45918367346938777,0.7144132653061218,0.7142857142857143,0.0765380859375,0.10204879247716495,0.10522511707884925,5741
1,Loop/1116,control,19,0.5318559556786704,0.4709141274238227,0.6038781163434903,0.5263157894736842,0.1562042236328125,0.1087999226231324,0.11033972588024642,5741
1,DCLP3/43,control,5,0.04,0.0,0.36,0.2,0.96875,0.11299515068531037,0.10306705087423325,5741
1,DCLP3/10,control,11,0.5206611570247934,0.4049586776859504,0.6363636363636364,0.5454545454545454,0.28857421875,0.1051104251633991,0.1060458394614133,5741
1,Loop/1071,control,22,0.512396694214876,0.4256198347107438,0.5971074380165289,0.45454545454545453,0.4368021488189697,0.10658282617276366,0.10670708323066885,5741
1,DCLP3/144,control,4,0.5,0.1875,0.8125,0.5,0.5625,0.1280293446034193,0.13134161941707134,5741
1,DCLP3/68,control,5,0.44,0.16,0.68,0.4,0.78125,0.09937001764774323,0.09732684791088105,5741
