replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,1.0,1.0,1.0,1.0,5.960464477539063e-08,0.043280752996603646,0.0689212294916312,5741
1,DCLP5/81,outlier,4,0.4375,0.1875,0.75,0.25,0.8125,0.30115047097206116,0.2989834249019623,5741
1,DCLP3/91,outlier,10,0.56,0.46,0.69,0.8,0.0419921875,0.2612790271639824,0.2691640451550484,5741
1,Loop/633,outlier,5,0.68,0.36,1.0,0.8,0.0625,0.2802060037851334,0.2882442057132721,5741
1,DCLP5/52,outlier,9,0.4074074074074074,0.2095679012345679,0.5555555555555556,0.1111111111111111,0.962890625,0.30727174546983504,0.30154385831620956,5741
1,Loop/100,outlier,5,0.52,0.32,0.76,0.6,0.59375,0.2746050953865051,0.27495176792144777,5741
1,Loop/19,outlier,14,0.45918367346938777,0.35701530612244897,0.5408163265306123,0.35714285714285715,0.74920654296875,0.2406015694141388,0.23820780217647552,5741
1,Loop/1153,outlier,19,0.7423822714681441,0.631578947368421,0.8559556786703602,0.8421052631578947,0.000209808349609375,0.0733931872405504,0.07911498687769238,5741
1,Loop/342,outlier,5,0.36,0.16,0.36,0.0,1.0,0.07684747278690338,0.07437065988779068,5741
1,Loop/467,outlier,11,0.5867768595041323,0.4378099173553719,0.7355371900826446,0.6363636363636364,0.16015625,0.07873155989430168,0.08001597428863699,5741
1,Loop/727,outlier,22,0.4152892561983471,0.3305785123966942,0.4669938016528923,0.18181818181818182,0.9990408420562744,0.12099975787780502,0.11767735569314523,5741
1,Loop/1120,outlier,4,0.3125,0.0,0.75,0.25,0.875,0.09499036893248558,0.08842643164098263,5741
1,Loop/968,outlier,5,0.4,0.16,0.64,0.2,0.9375,0.09322614967823029,0.09135001301765441,5741
1,Loop/317,control,24,0.4913194444444444,0.4305555555555556,0.5451388888888888,0.5,0.7080969214439392,0.16276787283519903,0.16195689824720225,5741
1,DCLP3/114,control,4,0.375,0.0,0.75,0.25,0.875,0.23018157482147217,0.2284429557621479,5741
1,DCLP3/111,control,10,0.36,0.2,0.51,0.3,0.986328125,0.19374192804098128,0.18985583782196044,5741
1,DCLP3/135,control,5,0.52,0.32,0.76,0.6,0.5,0.12302859276533126,0.12308445125818253,5741
1,DCLP3/102,control,9,0.5185185185185185,0.35802469135802467,0.6790123456790124,0.5555555555555556,0.751953125,0.16296608249346414,0.16157896320025125,5741
1,DCLP3/171,control,5,0.4,0.16,0.64,0.2,0.78125,0.1211597427725792,0.11999434977769852,5741
1,DCLP3/134,control,14,0.5357142857142857,0.4489795918367347,0.6428571428571429,0.5714285714285714,0.2315673828125,0.1496669969388417,0.15026145534855978,5741
1,Loop/1116,control,19,0.39058171745152354,0.29916897506925205,0.46537396121883656,0.10526315789473684,0.9992942810058594,0.16071831709460208,0.1554721899722752,5741
1,DCLP3/43,control,5,0.64,0.4,0.84,0.8,0.0625,0.1818094551563263,0.18596353828907014,5741
1,DCLP3/10,control,11,0.4297520661157025,0.2809917355371901,0.5537190082644629,0.45454545454545453,0.89697265625,0.16508551212874326,0.1619263535196131,5741
1,Loop/1071,control,22,0.4607438016528926,0.39044421487603304,0.5144628099173554,0.2727272727272727,0.9905216693878174,0.15527675063772636,0.15234387056394058,5741
1,DCLP3/144,control,4,0.3125,0.0,0.3125,0.0,1.0,0.1967921480536461,0.19322560355067253,5741
1,DCLP3/68,control,5,0.4,0.12,0.68,0.4,0.90625,0.16003234684467316,0.1549718677997589,5741
