replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,269,0.5049128674285872,0.5015405397935352,0.5086306850375202,0.5947955390334573,0.00013319368987237836,0.07977215479020736,0.080073321757485,165085
1,Loop/206,outlier,90,0.49592592592592594,0.4876512345679012,0.5018518518518519,0.4111111111111111,0.9207748715264795,0.22203677313195336,0.22161785662174224,165085
1,Loop/805,outlier,134,0.9431944753842727,0.9061567164179105,0.9738304744932056,0.9850746268656716,5.244767685395897e-24,0.06364736430791777,0.09875607982611478,165085
1,Loop/633,outlier,146,0.6729686620379058,0.6456628823419028,0.7083458434978419,0.8561643835616438,1.451156923435248e-21,0.16210839177851807,0.18438693192111302,165085
1,Loop/763,outlier,174,0.5013872374157748,0.49616858237547895,0.507367221561633,0.5459770114942529,0.21528544856793608,0.1930820557406579,0.19311612523321448,165085
1,Loop/755,outlier,192,0.505859375,0.5032280815972222,0.5100375705295139,0.6354166666666666,2.3699301574140437e-05,0.20809013357696435,0.2086759004741907,165085
1,ReplaceBG/134,outlier,91,0.5064605723946384,0.48363724187900015,0.5297759932375317,0.5714285714285714,0.1771840204900424,0.07807345397688531,0.07824937115003774,165085
1,DCLP3/91,outlier,136,0.5091371107266436,0.49853616998269895,0.5200583910034602,0.5514705882352942,0.037264253082141374,0.12228114415398415,0.12315805689157809,165085
1,Loop/1183,outlier,58,0.5978002378121284,0.5517167063020214,0.6557743757431629,0.6896551724137931,3.9945587708558893e-05,0.03619693338485627,0.03731438145041466,165085
1,Loop/246,outlier,30,0.5011111111111111,0.47,0.5288888888888889,0.5,0.3131731441244483,0.14965567688147227,0.14999575689435005,165085
1,DCLP5/2,control,271,0.5052082624147275,0.49891613676284363,0.512030064950096,0.5350553505535055,0.11821063686420186,0.09893851302481665,0.0990756784198029,165085
1,Flair/121,control,90,0.5069135802469136,0.4928364197530864,0.5207438271604938,0.4888888888888889,0.18856419499037097,0.07137155085802079,0.07178843464288447,165085
1,DCLP3/123,control,134,0.49654711517041655,0.49003118734684786,0.5028959679215861,0.4925373134328358,0.9106384025275077,0.11599632886363499,0.11574180974666752,165085
1,DCLP5/58,control,146,0.5012666541565022,0.4950729498967912,0.5076022705948583,0.5547945205479452,0.1491015353612356,0.166892731791898,0.167095555936637,165085
1,DCLP5/17,control,173,0.49400247251829327,0.4856485348658492,0.5013206254803033,0.45664739884393063,0.9657147458764173,0.09861653237845856,0.09821113233449143,165085
1,Loop/1093,control,192,0.4938422309027778,0.48681640625,0.5001085069444444,0.4270833333333333,0.9940250576074817,0.06767677979466195,0.06743064064842959,165085
1,DCLP3/67,control,91,0.49233184398019564,0.47977297427846877,0.5030793382441734,0.4065934065934066,0.9911248388735818,0.134226021530864,0.13358893523831944,165085
1,DCLP3/13,control,136,0.5004865916955017,0.49248215830449826,0.5097872512975778,0.5661764705882353,0.1972480229950368,0.07015266830978148,0.07025305803536493,165085
1,Flair/48,control,58,0.5035671819262783,0.4881093935790725,0.5199167657550535,0.5344827586206896,0.2979343527221552,0.0859628732091394,0.08613230358680775,165085
1,Loop/792,control,30,0.5,0.47444444444444445,0.5255555555555556,0.5,0.619467263109982,0.17520533328255017,0.17512249971429508,165085
