replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,DCLP3/138,outlier,141,0.4981137769729893,0.4897640963734219,0.5066143554147176,0.5460992907801419,0.422091799114755,0.20314857612053552,0.2027632583011972,167425
1,DCLP3/91,outlier,136,0.5081639273356401,0.49886326773356404,0.5188162305363322,0.5882352941176471,0.035872563098285876,0.12582644721602693,0.12622069824925242,167425
1,DCLP5/89,outlier,54,0.5102880658436214,0.49519890260631,0.5301783264746228,0.5925925925925926,0.11652964862962023,0.19317669752571318,0.19373498994995048,167425
1,Loop/1061,outlier,110,0.49305785123966944,0.4817334710743802,0.5036384297520661,0.5,0.6109621313174048,0.3373877893794667,0.33708430637012826,167425
1,Loop/1142,outlier,269,0.508381586766352,0.506335940631003,0.5116982905156092,0.6951672862453532,4.908894671838986e-16,0.08150354526299969,0.08194968255312912,167425
1,Loop/1183,outlier,58,0.4936087990487515,0.45629830558858503,0.5297265160523187,0.5,0.680255024988605,0.036541356544556286,0.036433651914884305,167425
1,Loop/206,outlier,81,0.5054107605547935,0.49535131839658586,0.5183699131229995,0.6049382716049383,0.04137026246661605,0.14001937150771235,0.14061224207649997,167425
1,Loop/246,outlier,30,0.5044444444444445,0.4666666666666667,0.5411111111111111,0.43333333333333335,0.7219433626160026,0.1787689877053102,0.1784183459977309,167425
1,Loop/26,outlier,246,0.5018507502148192,0.49684339678762646,0.5068911527529909,0.42276422764227645,0.9719122702282211,0.1679078507108417,0.16829942157719194,167425
1,Loop/263,outlier,96,0.5131293402777778,0.5036892361111112,0.5257161458333334,0.6041666666666666,0.0005649868010461084,0.22187271007957557,0.2238931836715589,167425
1,Loop/329,outlier,123,0.5006279331085994,0.4932249322493225,0.5071716570824245,0.43902439024390244,0.7874463734299422,0.21881137073524598,0.21881630108123873,167425
1,Loop/395,outlier,64,0.5,0.482904052734375,0.5151428222656249,0.453125,0.5531999041597816,0.2909437424968928,0.29107087664306164,167425
1,Loop/569,outlier,150,0.5063555555555556,0.5005766666666667,0.5135555555555555,0.56,0.003438702009640938,0.12459318024416764,0.12563018463551998,167425
1,DCLP3/14,control,141,0.49756048488506616,0.4912718173130124,0.5042012474221618,0.5531914893617021,0.2742779842622569,0.09818634266654651,0.09825743771825277,167425
1,DCLP3/13,control,136,0.4919982698961938,0.4815622296712803,0.5023815960207613,0.4411764705882353,0.9639558340488619,0.07034446159377694,0.07007638953954858,167425
1,Flair/62,control,53,0.49163403346386614,0.4734781060875756,0.5055179779280883,0.41509433962264153,0.8995909925297478,0.08846769889570633,0.08807033778361555,167425
1,DCLP3/105,control,109,0.4970120360239037,0.4890981398872149,0.5049238279606094,0.5045871559633027,0.769183706137595,0.12272752766762304,0.12253597023290232,167425
1,Loop/185,control,272,0.49495836937716264,0.4903218939230104,0.4987024221453287,0.44485294117647056,0.9774528993224146,0.08476476862971835,0.0846221533138305,167425
1,Loop/1169,control,58,0.49197384066587396,0.4774078478002378,0.5,0.3275862068965517,0.9942622664250889,0.1947379775088409,0.19406262862271276,167425
1,Loop/160,control,81,0.49763755525072395,0.48848879743941476,0.5052583447645176,0.41975308641975306,0.7970164654336936,0.16047315032761775,0.16033237703420497,167425
1,Flair/61,control,31,0.4963579604578564,0.4620187304890739,0.5244536940686785,0.45161290322580644,0.8505213898606598,0.08472615576559497,0.08444458690862502,167425
1,Loop/1137,control,244,0.4805999731255039,0.47406485151840905,0.4848327062617576,0.26639344262295084,0.9999999999999832,0.1101489825265818,0.1092784613309825,167425
1,Flair/55,control,96,0.4912109375,0.4739556206597222,0.5061848958333334,0.4270833333333333,0.8451611158403483,0.07157222297973931,0.07134765557323892,167425
1,DCLP3/157,control,122,0.5037624294544477,0.49536246976619186,0.512432813759742,0.5655737704918032,0.038419055183743084,0.1506676194487048,0.15111749026863303,167425
1,DCLP5/86,control,63,0.4834971025447216,0.4653565129755606,0.4948412698412698,0.30158730158730157,0.999440470068207,0.08918993529819307,0.08845945228896444,167425
1,Loop/503,control,149,0.4960136930768884,0.4884442142245845,0.5025449304085402,0.42953020134228187,0.9151233920105859,0.16592852761281418,0.1655913585884459,167425
1,DCLP5/37,control,133,0.49912374922268077,0.490587370682345,0.5077166600712307,0.48872180451127817,0.5326654430932891,0.09359223560843252,0.093525778866352,167425
1,Loop/173,control,192,0.50732421875,0.501898193359375,0.5138359917534722,0.5885416666666666,0.006312682715853564,0.10735814589619015,0.1077646468183957,167425
1,DCLP5/50,control,176,0.4930914256198347,0.4849230049070248,0.49954884426652896,0.42613636363636365,0.9866030175103186,0.09737677736715837,0.09705880652605132,167425
1,Flair/116,control,66,0.49931129476584024,0.48277662993572085,0.5183654729109275,0.4696969696969697,0.4732610565521236,0.07550978796048598,0.0757669900741541,167425
1,DCLP3/67,control,91,0.5057360222195387,0.4978837096968965,0.5156412269049631,0.6043956043956044,0.01445307506317021,0.13497200419942101,0.13551816835508243,167425
