replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,DCLP3/138,outlier,141,0.49011619133846385,0.4820180071424979,0.4957509682611539,0.3191489361702128,0.9999758439067483,0.22414015434312481,0.22295529971308742,167425
1,DCLP3/91,outlier,136,0.4937824394463668,0.4865916955017301,0.5001621972318339,0.4117647058823529,0.9724463592394835,0.08236668686218121,0.08214739816920723,167425
1,DCLP5/89,outlier,54,0.502400548696845,0.4883316186556927,0.5174897119341564,0.5370370370370371,0.4674040426491899,0.18076295184868355,0.18084226134750578,167425
1,Loop/1061,outlier,110,0.5042148760330578,0.49272520661157027,0.5180165289256199,0.5636363636363636,0.157081065209009,0.3111971902597526,0.31170283682136374,167425
1,Loop/1142,outlier,269,0.5009466425284338,0.49786487196141566,0.5044436920440568,0.5278810408921933,0.40304794335286037,0.07722546545213926,0.07722412614795798,167425
1,Loop/1183,outlier,58,0.5347800237812128,0.5172413793103449,0.5618385850178359,0.7068965517241379,1.8714708342014934e-05,0.013315062777235591,0.013605089247997465,167425
1,Loop/206,outlier,81,0.4955037341868618,0.48605395518975764,0.5043476604176192,0.49382716049382713,0.9143057140437454,0.05791111166278521,0.057714029134791574,167425
1,Loop/246,outlier,30,0.49666666666666665,0.4722222222222222,0.5255555555555556,0.5333333333333333,0.6039204532280564,0.15011713368197283,0.14940643943846227,167425
1,Loop/26,outlier,246,0.48790402538171723,0.4810950822922863,0.4923334324806663,0.2967479674796748,0.9999999888661129,0.1569995673418772,0.15630254951282974,167425
1,Loop/263,outlier,96,0.5054253472222222,0.4983696831597222,0.515847439236111,0.625,0.015827715928444362,0.1901556369072447,0.19042013764070967,167425
1,Loop/329,outlier,123,0.49560446823980436,0.4871438958292022,0.503073567321039,0.4146341463414634,0.9941586419326937,0.195888299237543,0.19548280409923413,167425
1,Loop/395,outlier,64,0.514892578125,0.498779296875,0.5380920410156249,0.609375,0.031033709624189696,0.286276308237575,0.28723997983615845,167425
1,Loop/569,outlier,150,0.4983111111111111,0.4790644444444444,0.5173800000000001,0.46,0.9954174358404732,0.07389579019509256,0.07357166815859575,167425
1,DCLP3/14,control,141,0.49906946330667473,0.49308259141894273,0.5050550777123887,0.5319148936170213,0.2527747798928573,0.10738620907068253,0.10748675230441364,167425
1,DCLP3/13,control,136,0.49789143598615915,0.4883745134083045,0.507731401384083,0.5147058823529411,0.4182562215818895,0.055880095056422496,0.05591496323947521,167425
1,Flair/62,control,53,0.5158419366322534,0.5030259878960485,0.5372107511569953,0.7358490566037735,0.0020347594560050273,0.11242061811235715,0.11289406525638868,167425
1,DCLP3/105,control,109,0.5050079959599361,0.49818828381449376,0.5130060600959515,0.5779816513761468,0.04147381339464089,0.13424628754274562,0.13453246694092358,167425
1,Loop/185,control,272,0.5168685121107266,0.5081098615916955,0.5275748810553633,0.5477941176470589,0.6915409888906994,0.06448203753611512,0.06446261595770278,167425
1,Loop/1169,control,58,0.5020808561236623,0.49078478002378123,0.5142761593341261,0.5344827586206896,0.14178924167324053,0.17900563371046607,0.17931775835439048,167425
1,Loop/160,control,81,0.49596098155768936,0.4886450236244475,0.5009907026367931,0.41975308641975306,0.9877184146838272,0.1846601948613462,0.18415344294367564,167425
1,Flair/61,control,31,0.4984391259105099,0.4703433922996878,0.5275754422476587,0.5161290322580645,0.5423030387610197,0.09541652447754337,0.09526157535372241,167425
1,Loop/1137,control,244,0.4944403386186509,0.49010682612201023,0.49773246439129265,0.4098360655737705,0.9997880230896703,0.10928607127461278,0.10897187280972473,167425
1,Flair/55,control,96,0.490234375,0.4741753472222222,0.5060763888888888,0.53125,0.6721385010965112,0.078054645525602,0.07776430458761752,167425
1,DCLP3/157,control,122,0.5032921257726417,0.49482497984412793,0.5129014377855414,0.5491803278688525,0.1356822955578107,0.1640405484520998,0.16415778077283844,167425
1,DCLP5/86,control,63,0.49181153943058703,0.47316704459561604,0.5061791383219955,0.31746031746031744,0.9937697613284285,0.0892921272842657,0.08890356602413314,167425
1,Loop/503,control,149,0.492545380838701,0.4852889509481555,0.4988063600738705,0.42953020134228187,0.9865347885632049,0.16090556354130675,0.16049448415737025,167425
1,DCLP5/37,control,133,0.4986714907569676,0.4907004352987733,0.5068686754480185,0.5338345864661654,0.4870110786244106,0.07660036175546789,0.0765129067283824,167425
1,Loop/173,control,192,0.4986436631944444,0.4910753038194444,0.5062127007378472,0.5052083333333334,0.39866288654617893,0.09189292220738328,0.09187660792182821,167425
1,DCLP5/50,control,176,0.49144498966942146,0.4829529313016529,0.49958112732438015,0.44886363636363635,0.978662985058043,0.0810864323284477,0.08073719482953576,167425
1,Flair/116,control,66,0.5133149678604224,0.504126492194674,0.5284722222222222,0.6818181818181818,0.0034777815768422433,0.10055789323241422,0.10112103684382005,167425
1,DCLP3/67,control,91,0.5027170631566236,0.49293563579277866,0.5131022823330516,0.5384615384615384,0.3817831802868562,0.12055679689069371,0.12068408064462327,167425
