replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,DCLP3/138,outlier,141,0.49781198128866755,0.4888071525577184,0.5075209999497007,0.5106382978723404,0.7915771774538551,0.2357536736109578,0.23459674819564144,167425
1,DCLP3/91,outlier,136,0.4957288062283737,0.48632136678200694,0.5048672685986159,0.47794117647058826,0.8843209434834514,0.08739385337514036,0.08721715940491241,167425
1,DCLP5/89,outlier,54,0.49519890260631,0.4753000685871056,0.5099451303155007,0.3888888888888889,0.9216679877063421,0.19694825758536658,0.19625182587791373,167425
1,Loop/1061,outlier,110,0.4965289256198347,0.4828925619834711,0.509340909090909,0.509090909090909,0.6257422795655447,0.42982839183373883,0.42962160488929263,167425
1,Loop/1142,outlier,269,0.4979477895551471,0.4943961526236509,0.5012233799975124,0.4684014869888476,0.926537498556063,0.10010856867778258,0.1000159703278187,167425
1,Loop/1183,outlier,58,0.5157550535077289,0.5,0.5401307966706302,0.6379310344827587,0.018116403762842,0.01675163350742439,0.016877131520545686,167425
1,Loop/206,outlier,81,0.5055631763450693,0.49596098155768936,0.5162322816643804,0.5432098765432098,0.03814188229710434,0.06818790917779192,0.06846671142143967,167425
1,Loop/246,outlier,30,0.5011111111111111,0.4677777777777778,0.53,0.36666666666666664,0.9080154532566667,0.1542599913974603,0.15291983298957348,167425
1,Loop/26,outlier,246,0.4899861193733889,0.48216669971577764,0.4959688346883469,0.42276422764227645,0.9998970931863953,0.1630782752706692,0.1625814501639092,167425
1,Loop/263,outlier,96,0.5037977430555556,0.4919677734375,0.5185574001736111,0.5520833333333334,0.13567748675148805,0.23484800402851155,0.2355462042420792,167425
1,Loop/329,outlier,123,0.5038006477625752,0.496528190891665,0.5119307290633882,0.5609756097560976,0.23363023164347863,0.2341850082261291,0.2343138433932289,167425
1,Loop/395,outlier,64,0.499267578125,0.478515625,0.5185607910156249,0.4375,0.7503012272190657,0.38637627521529794,0.38631294295191765,167425
1,Loop/569,outlier,150,0.4997333333333333,0.4813277777777778,0.5194677777777778,0.5133333333333333,0.7880573983923216,0.0841359619051218,0.08393645426568885,167425
1,DCLP3/14,control,141,0.5053065741159901,0.5000251496403602,0.511444343845883,0.5886524822695035,0.0037655984973661177,0.08837254279365776,0.08869216601687965,167425
1,DCLP3/13,control,136,0.48637543252595156,0.47491214316609,0.49551254325259514,0.40441176470588236,0.9830901036432249,0.03990627456839908,0.03969765023109229,167425
1,Flair/62,control,53,0.5653257386970452,0.525809896760413,0.6222855108579566,0.7169811320754716,0.06565023111604774,0.03318892248888623,0.033567653327547714,167425
1,DCLP3/105,control,109,0.5029037959767696,0.4930561400555509,0.5124989479000084,0.5137614678899083,0.3010055904478806,0.12114217938906556,0.12129612800178177,167425
1,Loop/185,control,272,0.5199097102076125,0.5108665387110727,0.5309952151816609,0.6213235294117647,0.007922248204746709,0.07687693835674402,0.07702665019314736,167425
1,Loop/1169,control,58,0.49851367419738407,0.487217598097503,0.5083234244946492,0.46551724137931033,0.436945475288232,0.21794389686065502,0.21840556990355253,167425
1,Loop/160,control,81,0.5034293552812071,0.496418228928517,0.5127267184880354,0.6049382716049383,0.0326431908126468,0.18060906270495902,0.1810372862389978,167425
1,Flair/61,control,31,0.6233090530697191,0.5327523413111342,0.7273933402705514,0.6451612903225806,0.6890281881205738,0.026476809124071753,0.02573986871228103,167425
1,Loop/1137,control,244,0.4975980919107767,0.49220597621607093,0.5023355616769686,0.48770491803278687,0.8631456059625754,0.11631654486915127,0.11611408401341712,167425
1,Flair/55,control,96,0.7713758680555556,0.705078125,0.8384358723958333,0.84375,1.263396150082981e-06,0.010385895812457116,0.010342629248043522,167425
1,DCLP3/157,control,122,0.4953641494221983,0.48669712442891694,0.5033593120128997,0.47540983606557374,0.6247942886769261,0.1686703782895061,0.16847649787659527,167425
1,DCLP5/86,control,63,0.47845804988662133,0.45880574452003026,0.4925673973293021,0.31746031746031744,0.9996744223621074,0.060383846421563435,0.05955470282407034,167425
1,Loop/503,control,149,0.48934732669699565,0.48087811359848653,0.4966454213774154,0.4563758389261745,0.993632657532882,0.19482971742849223,0.19386637740887253,167425
1,DCLP5/37,control,133,0.4977669738255413,0.49007716660071227,0.504324721578382,0.45112781954887216,0.878333210892689,0.05328117562387895,0.05315399842154711,167425
1,Loop/173,control,192,0.506591796875,0.4996202256944444,0.5143527560763889,0.59375,0.0053671024931591866,0.08715820307164297,0.08741937957044381,167425
1,DCLP5/50,control,176,0.5066180268595041,0.4964157735020661,0.5157872223657024,0.48863636363636365,0.25261849211992227,0.06282471674917774,0.06301083179741082,167425
1,Flair/116,control,66,0.3480257116620753,0.28167470156106517,0.39876606978879703,0.15151515151515152,0.9999921222103417,0.022950755799132767,0.022198894315145233,167425
1,DCLP3/67,control,91,0.4995773457311919,0.48689771766694845,0.5124984905204686,0.5494505494505495,0.2108559269017033,0.12578647714722288,0.12599807470054417,167425
