replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,HUPA-UCM/27,outlier,81,0.7957628410303308,0.7325064776710867,0.8565843621399176,0.7283950617283951,1.2886212668092992e-11,0.06369680900101185,0.15453027878646497,5925
1,Loop/388,outlier,45,0.8081481481481482,0.7229506172839506,0.8884012345679012,0.7111111111111111,4.0463091281748787e-07,0.06446097204202993,0.1704904509915246,5925
1,Loop/511,outlier,44,0.8259297520661157,0.7360537190082644,0.9091038223140495,0.7272727272727273,4.7505577059836305e-07,0.05356790886650164,0.1564717743207108,5925
1,Loop/693,outlier,41,0.8248066627007733,0.7293203450327187,0.9092801903628792,0.7560975609756098,1.0446266395170807e-06,0.04689207703028465,0.13549598070179544,5925
1,Loop/1199,outlier,38,0.7884349030470914,0.6949445983379502,0.877770083102493,0.6842105263157895,4.402269031788813e-06,0.06837400461709446,0.1560496440843532,5925
1,Loop/245,outlier,38,0.8511080332409973,0.7603618421052631,0.9241776315789474,0.7105263157894737,2.364601168723529e-06,0.05738851417424341,0.17155082641463532,5925
1,Loop/1173,outlier,37,0.8276113951789628,0.7373721694667641,0.9171110299488677,0.8648648648648649,3.7779635194103413e-07,0.04483510381416292,0.12746360716787544,5925
1,Loop/1081,outlier,36,0.9243827160493827,0.8568576388888889,0.9714506172839507,0.8333333333333334,6.393846449734675e-07,0.03416467603528872,0.15059694233867857,5925
1,Loop/11,outlier,36,0.7372685185185185,0.6438946759259259,0.833381558641975,0.6388888888888888,2.2869438027718603e-05,0.06524689481254124,0.13414672844939762,5925
1,Loop/944,outlier,36,0.8186728395061729,0.7345486111111111,0.9074170524691357,0.8333333333333334,8.467652914608841e-07,0.058048934959111245,0.17350619948572582,5925
1,Loop/164,outlier,35,0.8473469387755102,0.7546938775510204,0.9257142857142857,0.8285714285714286,1.2807597368153862e-06,0.039605056911906494,0.12595302270991462,5925
1,Loop/266,outlier,35,0.8081632653061225,0.706530612244898,0.9,0.7428571428571429,5.18711664860341e-06,0.047911967930018104,0.1370791556579726,5925
1,Loop/1067,outlier,34,0.7910899653979239,0.6993620242214533,0.8836505190311419,0.6764705882352942,1.3507974243552756e-05,0.06702540695379652,0.14499709733268795,5925
1,Loop/1142,outlier,34,1.0,1.0,1.0,1.0,5.820766091346741e-11,0.013066995121976909,0.05379083949853392,5925
1,Loop/149,outlier,34,0.8222318339100346,0.7283628892733564,0.9087478373702421,0.8823529411764706,2.102680322854093e-06,0.05162231460631387,0.14506820720784805,5925
1,Loop/1018,outlier,33,0.7727272727272727,0.6744490358126722,0.8654843893480256,0.7575757575757576,9.301614103213872e-06,0.07494485865710444,0.16748800241585934,5925
1,Loop/214,outlier,33,0.797979797979798,0.6974173553719007,0.8953512396694213,0.696969696969697,1.0006508718837746e-05,0.08086476314488347,0.21908944529114346,5925
1,Loop/227,outlier,33,0.8255280073461891,0.7203397612488521,0.918732782369146,0.696969696969697,1.900786763442248e-05,0.06238877844589297,0.14908802373842758,5925
1,Loop/524,outlier,33,0.9017447199265382,0.816333792470156,0.9641988062442607,0.7575757575757576,7.643916413285105e-06,0.059830035432682824,0.18036861672545923,5925
